epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,124.762,1.31155,1.5941,1.24843,0.76639,0.66587,0.68923,0.53024,1.08446,1.27273,1.11964,0.0078715,0.0078715,0.0078715
45,126.887,1.62278,1.58461,1.44752,0.65679,0.71349,0.65106,0.50248,1.14129,1.0948,1.16449,0.007822,0.007822,0.007822
46,128.922,1.0884,1.37075,1.06104,0.62532,0.53394,0.56439,0.45775,1.21348,1.78107,1.35502,0.0077725,0.0077725,0.0077725
47,131.11,1.17939,1.70944,1.16326,0.48028,0.39048,0.44682,0.36512,1.43015,4.55228,1.64504,0.007723,0.007723,0.007723
48,133.252,1.13777,1.415,1.07642,0.63608,0.58017,0.58186,0.48512,1.17928,1.44955,1.3747,0.0076735,0.0076735,0.0076735
49,135.352,1.43741,1.85511,1.34363,0.96415,0.41667,0.56355,0.46729,1.18442,1.86067,1.28056,0.007624,0.007624,0.007624
50,137.477,1.23053,1.44124,1.19479,0.96896,0.61396,0.63071,0.50673,1.09054,1.33593,1.15791,0.0075745,0.0075745,0.0075745
51,139.613,1.2217,1.4497,1.21967,0.6481,0.66508,0.63773,0.52237,1.04847,1.12992,1.19356,0.007525,0.007525,0.007525
52,141.726,1.29044,1.98057,1.22838,0.55726,0.48378,0.63279,0.47,1.29618,1.57974,1.34967,0.0074755,0.0074755,0.0074755
53,143.92,1.29796,1.54727,1.20439,0.68957,0.24603,0.58436,0.40423,1.50321,2.26791,1.43197,0.007426,0.007426,0.007426
54,146.066,1.18847,1.4001,1.18125,0.66402,0.632,0.6536,0.48117,1.31372,1.71267,1.28898,0.0073765,0.0073765,0.0073765
55,148.19,1.19511,1.50428,1.13395,0.72237,0.69639,0.6815,0.5089,1.13305,1.23374,1.18683,0.007327,0.007327,0.007327
56,150.307,1.3197,1.59272,1.25943,0.6245,0.14968,0.32456,0.24377,1.8185,3.58988,1.7886,0.0072775,0.0072775,0.0072775
57,152.407,1.10936,1.20286,1.08839,0.6967,0.08123,0.09705,0.08801,2.30389,5.06425,2.51766,0.007228,0.007228,0.007228
58,154.581,1.2958,1.72802,1.23473,0.57806,0.51618,0.66588,0.49332,1.12448,1.39919,1.16743,0.0071785,0.0071785,0.0071785
59,156.757,1.19297,1.41605,1.25308,0.84659,0.62329,0.75103,0.54644,1.0509,1.49186,1.102,0.007129,0.007129,0.007129
60,159.395,1.33688,2.03187,1.33313,0.90627,0.74524,0.79731,0.62364,0.97586,1.11054,1.06962,0.0070795,0.0070795,0.0070795
61,162.22,1.20619,1.54814,1.1818,0.85847,0.66125,0.79764,0.59824,1.0635,1.13985,1.03957,0.00703,0.00703,0.00703
62,164.665,0.97625,1.52936,1.00311,0.79312,0.72937,0.72973,0.57799,0.97645,1.15569,1.05964,0.0069805,0.0069805,0.0069805
63,167.209,1.29535,1.75248,1.24707,0.8475,0.58769,0.60087,0.50112,1.0131,1.49737,1.12271,0.006931,0.006931,0.006931
64,169.76,0.90801,1.71352,0.98228,0.79311,0.63413,0.64691,0.56226,0.9401,1.11861,1.08515,0.0068815,0.0068815,0.0068815
65,172.229,0.96066,1.14857,1.0199,0.69763,0.63413,0.63437,0.53423,0.98622,1.11302,1.11118,0.006832,0.006832,0.006832
66,174.512,0.94105,1.82626,1.00487,0.67238,0.60686,0.59956,0.48906,1.06112,1.27386,1.17765,0.0067825,0.0067825,0.0067825
67,176.903,1.08615,1.30202,1.09864,0.62908,0.50868,0.58604,0.46262,1.09416,1.42468,1.21208,0.006733,0.006733,0.006733
68,179.208,1.18635,1.48201,1.20099,0.7248,0.55111,0.61283,0.48571,1.10083,1.22457,1.18693,0.0066835,0.0066835,0.0066835
69,181.606,1.50786,2.08252,1.29682,0.72428,0.76111,0.74446,0.52002,1.19452,0.90292,1.15297,0.006634,0.006634,0.006634
70,184.043,1.10642,1.25702,1.13979,0.73699,0.77698,0.74497,0.56536,1.01086,0.87478,1.0941,0.0065845,0.0065845,0.0065845
71,186.353,1.00863,1.17978,1.09734,0.72778,0.79286,0.74316,0.58582,1.00014,0.86086,1.07421,0.006535,0.006535,0.006535
72,188.797,1.1088,1.49693,1.16157,0.79572,0.72937,0.77185,0.56882,1.10829,0.96249,1.06982,0.0064855,0.0064855,0.0064855
73,191.222,1.27071,1.59251,1.17717,0.87499,0.76111,0.80268,0.55236,1.18045,1.02643,1.10424,0.006436,0.006436,0.006436
74,193.729,1.01294,1.1912,1.09816,0.94801,0.69758,0.80201,0.54714,1.16489,1.25227,1.10621,0.0063865,0.0063865,0.0063865
75,196.289,0.88771,1.40297,1.01046,0.96489,0.57245,0.71544,0.57447,0.99846,1.58678,1.08164,0.006337,0.006337,0.006337
76,198.84,1.31971,1.62593,1.2431,0.90384,0.71349,0.75992,0.59399,0.92313,0.97522,1.02267,0.0062875,0.0062875,0.0062875
77,201.288,1.08524,1.20165,1.21393,0.84112,0.76111,0.80237,0.64335,0.86455,0.75181,0.99926,0.006238,0.006238,0.006238
78,203.673,1.04499,1.00827,1.10405,0.80747,0.77698,0.79464,0.60835,0.99289,0.67459,1.02471,0.0061885,0.0061885,0.0061885
79,205.829,1.10443,1.55562,1.10349,0.79513,0.79286,0.78335,0.57069,1.15586,0.72968,1.08289,0.006139,0.006139,0.006139
80,207.986,1.08213,1.298,1.13069,0.83873,0.78813,0.79587,0.61507,1.00123,0.82061,1.06109,0.0060895,0.0060895,0.0060895
81,210.203,0.99826,1.14657,1.01044,0.81527,0.77698,0.7678,0.57422,1.07392,0.761,1.09156,0.00604,0.00604,0.00604
82,212.427,1.03059,1.09943,1.10369,0.84813,0.63095,0.64376,0.50892,1.19688,0.81185,1.21894,0.0059905,0.0059905,0.0059905
83,214.585,1.03913,1.24084,1.11032,0.94563,0.5855,0.60545,0.48888,1.1407,1.21686,1.23208,0.005941,0.005941,0.005941
84,216.769,1.15633,1.40469,1.12759,0.76138,0.72557,0.73512,0.55206,1.10381,0.81984,1.13081,0.0058915,0.0058915,0.0058915
85,218.982,1.15155,1.20907,1.17807,0.77788,0.84048,0.79304,0.56483,1.17769,0.78857,1.11256,0.005842,0.005842,0.005842
86,221.119,0.88248,1.05748,0.9558,0.84247,0.79286,0.78716,0.61343,0.98927,0.77781,1.06322,0.0057925,0.0057925,0.0057925
87,223.235,0.96526,1.75855,0.9839,0.84517,0.70415,0.78957,0.61828,0.89289,0.93642,1.02986,0.005743,0.005743,0.005743
88,225.321,1.03979,1.27619,1.09536,0.78643,0.77698,0.797,0.60552,0.96909,0.90844,1.0548,0.0056935,0.0056935,0.0056935
89,227.374,0.87807,1.31969,0.94184,0.93036,0.71349,0.78226,0.6002,0.99077,0.90446,1.04185,0.005644,0.005644,0.005644
